DateTime,Depth,temp
1980-04-30,0,8
1980-04-30,5,7.7
1980-04-30,10,7.5
1980-04-30,15,7.3
1980-04-30,20,7.2
1980-04-30,23,7.2
1980-05-12,0,11.5
1980-05-12,2,11
1980-05-12,4,11
1980-05-12,6,10.2
1980-05-12,8,10
1980-05-12,10,10
1980-05-12,12,9
1980-05-12,14,8.5
1980-05-12,16,8.5
1980-05-12,18,8.5
1980-05-12,20,8.2
1980-05-12,22,8.2
1980-05-12,24,7
1980-05-19,0,12
1980-05-19,2,11
1980-05-19,4,10.5
1980-05-19,6,10
1980-05-19,8,10
1980-05-19,10,10
1980-05-19,12,9.5
1980-05-19,14,9.5
1980-05-19,16,9.5
1980-05-19,18,9.5
1980-05-19,20,9.5
1980-05-19,22,9
1980-05-19,23,8.5
1980-05-21,0,16.7
1980-05-21,1,16
1980-05-21,2,14.4
1980-05-21,3,11.4
1980-05-21,4,10.7
1980-05-21,6,10.5
1980-05-21,8,10.2
1980-05-21,10,10.1
1980-05-21,14,9.6
1980-05-21,20,9.1
1980-06-02,0,16.5
1980-06-02,2,16
1980-06-02,4,16
1980-06-02,6,16
1980-06-02,8,15
1980-06-02,10,14
1980-06-02,12,12
1980-06-02,14,11
1980-06-02,16,10.2
1980-06-02,18,10
1980-06-03,0,17.1
1980-06-03,4,16.2
1980-06-03,6,16
1980-06-03,7,15.8
1980-06-03,8,15.2
1980-06-03,9,14.2
1980-06-03,10,12.9
1980-06-03,11,11.8
1980-06-03,12,11.2
1980-06-03,18,10
1980-06-03,20,9.6
1980-06-03,21,9.6
1980-06-11,0,17.8
1980-06-11,2,17.5
1980-06-11,4,17.2
1980-06-11,6,16.7
1980-06-11,8,16.2
1980-06-11,10,14.5
1980-06-11,12,13.4
1980-06-11,14,11.8
1980-06-11,16,10
1980-06-11,18,9.9
1980-06-11,20,9.8
1980-06-11,22,9.7
1980-06-11,24,9.4
1980-06-17,0,17.4
1980-06-17,4,17.4
1980-06-17,8,17.3
1980-06-17,11,16.8
1980-06-17,12,14.4
1980-06-17,13,13.7
1980-06-17,14,13.7
1980-06-17,15,12.5
1980-06-17,17,11.3
1980-06-17,19,10.9
1980-06-17,21,10.8
1980-06-17,23,10.5
1980-06-18,0,18.8
1980-06-18,2,17.5
1980-06-18,4,17.3
1980-06-18,6,17.3
1980-06-18,8,17
1980-06-18,10,16.3
1980-06-18,12,13.2
1980-06-18,14,11.5
1980-06-18,16,10.5
1980-06-18,18,9.8
1980-06-18,20,9.5
1980-06-18,22,9
1980-06-24,0,21
1980-06-24,2,20.5
1980-06-24,4,20
1980-06-24,6,19
1980-06-24,8,18.5
1980-06-24,10,17.5
1980-06-24,12,16
1980-06-24,14,14.5
1980-06-24,16,12.5
1980-06-24,18,11.5
1980-06-24,20,11.2
1980-06-24,22,10.8
1980-06-30,0,23.1
1980-06-30,1,21.8
1980-06-30,2,21.8
1980-06-30,3,21.8
1980-06-30,5,21.5
1980-06-30,7,21.1
1980-06-30,8,19
1980-06-30,9,17.6
1980-06-30,10,16.9
1980-06-30,11,16.5
1980-06-30,12,16
1980-06-30,13,14.7
1980-06-30,14,14
1980-06-30,15,13.3
1980-06-30,16,13
1980-06-30,17,12.6
1980-06-30,18,12
1980-06-30,19,11.7
1980-06-30,20,11.4
1980-07-08,0,25
1980-07-08,2,25
1980-07-08,4,25
1980-07-08,6,23.5
1980-07-08,8,19
1980-07-08,10,17.5
1980-07-08,12,15
1980-07-08,14,14.5
1980-07-08,16,14.5
1980-07-08,18,12
1980-07-08,20,11.5
1980-07-08,22,11
1980-07-14,0,26
1980-07-14,3,26
1980-07-14,4,25
1980-07-14,5,24
1980-07-14,6,22
1980-07-14,7,22
1980-07-14,8,20
1980-07-14,9,18.5
1980-07-14,10,17.5
1980-07-14,11,16.5
1980-07-14,12,16
1980-07-14,13,15.8
1980-07-14,14,15
1980-07-14,15,14.9
1980-07-14,16,14
1980-07-14,17,13
1980-07-14,18,12
1980-07-14,19,11.5
1980-07-14,20,11
1980-07-14,21,11
1980-07-14,22,11
1980-07-14,23,11
1980-07-16,0,25
1980-07-16,2,25
1980-07-16,4,25
1980-07-16,6,24.8
1980-07-16,8,20
1980-07-16,10,16.8
1980-07-16,12,16
1980-07-16,14,14.5
1980-07-16,16,13.5
1980-07-16,18,13
1980-07-16,20,11.5
1980-07-16,22,11
1980-07-23,0,25.7
1980-07-23,2,25.5
1980-07-23,4,25
1980-07-23,6,25
1980-07-23,8,24
1980-07-23,10,18
1980-07-23,12,15.5
1980-07-23,14,14
1980-07-23,16,13
1980-07-23,18,12
1980-07-23,20,11.8
1980-07-23,22,11.5
1980-07-23,24,11.2
1980-07-29,1,24.2
